Ticker,Company,Sector,Industry,Close_2014-12-09,Close_2014-12-23,Close_2015-02-05,Close_2015-04-09,Close_2015-10-30,Close_2016-07-19,Close_2016-09-05,Close_2017-07-27,Close_2022-11-04,Close_2024-11-07,Close_2024-12-19,Close_2025-02-17,Close_2025-02-18,Close_2025-02-19,Close_2025-02-20,Close_2025-02-21,Close_2025-02-24,Close_2025-02-25,Close_2025-02-26,Close_2025-02-27,Close_2025-03-04,Close_2025-04-01,Close_2025-04-30,Close_2025-05-14,Close_2025-05-19,Close_2025-05-23,Close_2025-06-09,Close_2025-06-10,Close_2025-06-11,Close_2025-06-12,Close_2025-06-13,Close_2025-06-16,Close_2025-06-17,Close_2025-06-18,Close_2025-06-19,Close_2025-06-20,Close_2025-08-05,Close_2025-12-02,Close_2026-01-22,Close_2026-01-23,Close_2026-01-28,Close_2026-01-29,Close_2026-01-30,Close_2026-02-02,Close_2026-02-03,Close_2026-02-04,Close_2026-02-05,Close_2026-02-06,Close_2026-02-09,Close_2026-02-10,Close_2026-02-11,Close_2026-02-12,Close_2026-02-13,Close_2026-02-16,Close_2026-02-17,Close_2026-02-18,Close_2026-02-19,Close_2026-02-20,Close_2026-02-23,Close_2026-02-24,Close_2026-02-25,Close_2026-02-26,Close_2026-02-27,Close_2026-03-02,Close_2026-03-03,Close_2026-03-04,Close_2026-03-05,Close_2026-03-06,Close_2026-03-09,Volume_2014-12-09,Volume_2014-12-23,Volume_2015-02-05,Volume_2015-04-09,Volume_2015-10-30,Volume_2016-07-19,Volume_2016-09-05,Volume_2017-07-27,Volume_2022-11-04,Volume_2024-11-07,Volume_2024-12-19,Volume_2025-02-17,Volume_2025-02-18,Volume_2025-02-19,Volume_2025-02-20,Volume_2025-02-21,Volume_2025-02-24,Volume_2025-02-25,Volume_2025-02-26,Volume_2025-02-27,Volume_2025-03-04,Volume_2025-04-01,Volume_2025-04-30,Volume_2025-05-14,Volume_2025-05-19,Volume_2025-05-23,Volume_2025-06-09,Volume_2025-06-10,Volume_2025-06-11,Volume_2025-06-12,Volume_2025-06-13,Volume_2025-06-16,Volume_2025-06-17,Volume_2025-06-18,Volume_2025-06-19,Volume_2025-06-20,Volume_2025-08-05,Volume_2025-12-02,Volume_2026-01-22,Volume_2026-01-23,Volume_2026-01-28,Volume_2026-01-29,Volume_2026-01-30,Volume_2026-02-02,Volume_2026-02-03,Volume_2026-02-04,Volume_2026-02-05,Volume_2026-02-06,Volume_2026-02-09,Volume_2026-02-10,Volume_2026-02-11,Volume_2026-02-12,Volume_2026-02-13,Volume_2026-02-16,Volume_2026-02-17,Volume_2026-02-18,Volume_2026-02-19,Volume_2026-02-20,Volume_2026-02-23,Volume_2026-02-24,Volume_2026-02-25,Volume_2026-02-26,Volume_2026-02-27,Volume_2026-03-02,Volume_2026-03-03,Volume_2026-03-04,Volume_2026-03-05,Volume_2026-03-06,Volume_2026-03-09
JUB,Jubilee Holdings Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5,366.75,366.75,373.25,374.5,380.0,378.25,375.25,384.0,378.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.0,743.0,305.0,835.0,1006.0,1699.0,1102.0,7050.0,916.0,1404.0
KCB,KCB Group,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,75.5,77.0,80.25,77.75,77.5,75.0,74.25,77.5,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3274656.0,1286868.0,2714790.0,1062307.0,312007.0,2194884.0,1582237.0,997937.0,2782623.0,2603319.0
KPLC,Kenya Power & Lighting Company,Utilities,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,,17.4,17.7,18.4,18.5,18.3,17.85,17.3,16.9,17.05,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226421.0,,1254911.0,1178593.0,786136.0,1165595.0,837681.0,1972072.0,1468872.0,710922.0,1051674.0,942479.0
KQ,Kenya Airways Limited,Industrials,Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52,5.56,5.72,5.62,5.6,5.26,4.92,4.51,4.47,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37940179.0,32071165.0,403663.0,4895223.0,6898057.0,3768418.0,487883.0,700929.0,1579281.0,35638.0,
KUKZ,Kakuzi Limited,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.25,421.25,436.5,436.5,433.0,421.0,424.75,420.5,420.5,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,1352.0,54.0,443.0,313.0,181.0,353.0,71.0,101.0,284.0
NCBA,NCBA Group Plc,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.25,92.25,92.5,91.5,89.5,88.25,87.75,88.0,87.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172836.0,145610.0,177902.0,241935.0,37481.0,32064.0,212372.0,118790.0,71052.0,75047.0
SASN,Sasini Tea and Coffee Limited,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.95,28.35,28.4,28.4,29.1,29.6,29.6,28.35,28.35,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67867.0,20348.0,98495.0,32885.0,23852.0,42277.0,17868.0,34845.0,34405.0,13161.0
SBIC,Stanbic Holdings Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.75,254.0,255.25,255.25,257.25,256.0,255.0,255.0,255.0,255.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34003.0,17070.0,24282.0,51047.0,36033.0,20605.0,112564.0,76205.0,357460.0,28021.0
SCBK,Standard Chartered Bank Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.25,340.5,345.25,350.5,362.25,352.5,352.25,355.5,355.25,340.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42136.0,50464.0,26561.0,63854.0,36618.0,13712.0,30622.0,13476.0,298382.0,13664.0,
SCOM,Safaricom Plc,Telecommunications,Mobile Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,33.1,32.7,32.0,31.7,31.05,30.55,30.75,30.65,30.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11818533.0,7920799.0,12763939.0,8548403.0,772223.0,1311344.0,2524620.0,2057116.0,19348587.0,8460555.0
TOTL,Total Kenya Limited,Oil & Gas,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.45,42.2,42.05,42.45,42.85,43.4,43.2,43.05,43.6,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22164.0,31379.0,49110.0,55697.0,31840.0,62362.0,31858.0,35947.0,52109.0,10199.0,
AMAC,Africa Mega Agricorp,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5,,,,,,,,,,,,,,,,,95.75,,94.5,98.25,94.25,96.25,97.75,98.0,100.25,102.0,108.25,108.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,444.0,,404.0,801.0,483.0,313.0,172.0,1684.0,1057.0,1531.0,1229.0,366.0
BKG,BK Group Plc,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,46.0,46.0,47.05,45.5,48.0,48.0,49.1,47.9,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367095.0,301475.0,1987.0,203023.0,65729.0,2451.0,4220.0,135772.0,6680.0,6157.0,
BOC,BOC Kenya Limited,Basic Materials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.75,,130.75,136.0,134.0,132.5,132.25,133.0,128.25,122.5,125.75,125.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.0,,30299.0,10744.0,613.0,1350.0,3369.0,11662.0,6644.0,1528.0,45095.0,3681.0
CABL,East African Cables Limited,Industrials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,1.9,1.9,1.85,1.88,1.86,1.85,1.81,1.73,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500.0,15100.0,3100.0,28500.0,23700.0,32600.0,37500.0,74900.0,296500.0,74400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARB,Carbacid Investments Limited,Basic Materials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.25,31.9,31.3,30.55,30.55,30.85,30.4,30.3,29.95,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16057.0,15449.0,56078.0,43257.0,157137.0,33242.0,15934.0,38052.0,232451.0,21248.0
CGEN,Car and General Kenya Limited,Consumer Services,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75,72.25,71.0,71.25,70.0,69.5,65.25,65.25,64.5,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12250.0,1536.0,9105.0,6364.0,5969.0,7985.0,6392.0,1823.0,2063.0,3484.0
CRWN,Crown Paints Kenya Limited,Basic Materials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,62.25,64.0,62.5,60.75,61.25,60.25,60.25,57.25,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034.0,7472.0,3515.0,8177.0,2490.0,4024.0,1632.0,2432.0,3050.0,1976.0
CTUM,Centum Investment Company,Financials,Investment Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.25,,15.0,14.8,14.85,15.0,15.6,15.0,14.7,14.7,14.7,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58193.0,,30757.0,168197.0,23393.0,262399.0,139197.0,72801.0,39892.0,44272.0,210596.0,11496.0
EGAD,Eaagads Limited,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.55,31.7,31.05,31.05,30.1,31.0,31.0,30.1,29.45,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6825.0,8977.0,1118.0,3052.0,6781.0,3425.0,3650.0,953.0,13337.0,1555.0
EVRD,Eveready East Africa Limited,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.22,1.19,1.13,1.06,1.0,0.94,0.94,1.13,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3991652.0,8287436.0,5820915.0,10008607.0,7919396.0,9242902.0,13063752.0,234926.0,6425863.0,3567231.0
FTGH,Flame Tree Group Holdings Limited,Basic Materials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.35,2.58,2.58,3.0,2.84,2.57,2.35,2.35,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281653.0,212434.0,63652.0,146691.0,384207.0,225709.0,119663.0,142287.0,170541.0,79634.0
GLD,Absa NewGold ETF,Financials,Investment Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6175.0,6175.0,6175.0,6175.0,6230.0,6555.0,6225.0,6400.0,6275.0,6230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,84.0,6.0,24536.0,1750.0,60922.0,584.0,462.0,726.0,1165.0
HAFR,Home Afrika Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.46,1.5,1.5,1.6,1.76,1.85,1.7,1.55,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482038.0,509075.0,917887.0,262621.0,1851695.0,1325383.0,2868607.0,1401097.0,618616.0,1701652.0,
HFCK,HF Group Limited,Financials,Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,10.3,9.92,10.15,10.1,10.15,,,,,,,,,,,10.3,11.05,10.6,11.25,11.1,10.35,10.2,10.3,10.5,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408865.0,823338.0,207234.0,159579.0,79084.0,143752.0,,,,,,,,,,,2095147.0,118657.0,5883331.0,587461.0,448034.0,8083392.0,350248.0,262999.0,169155.0,83195.0
KAPC,Kapchorua Tea Company Limited,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,248.25,248.25,249.0,255.5,257.0,256.5,252.5,246.75,244.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.0,1966.0,2580.0,3167.0,783.0,1400.0,3082.0,1125.0,566.0,405.0
KEGN,KenGen Plc,Utilities,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58,9.56,9.66,9.64,9.6,9.54,9.44,9.3,9.2,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039975.0,2466054.0,2097998.0,1434376.0,2814493.0,1524882.0,1375381.0,788136.0,1141454.0,1674677.0
KNRE,Kenya Re-Insurance Corporation Ltd,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.33,3.66,,3.94,3.8,,3.75,,3.8,3.91,3.95,3.91,3.88,3.77,3.49,3.43,3.52,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879702.0,3111389.0,5572308.0,,5946130.0,2757748.0,,1241834.0,,3342170.0,2670777.0,3359842.0,4456918.0,4673574.0,1893584.0,2799926.0,1636641.0,3492833.0,4226454.0
KURV,Kurwitu Ventures Limited,Financials,—,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,1500.0,,,1500.0,,1500.0,,1500.0,1500.0,1500.0,,1500.0,,1500.0,,1500.0,300.0,300.0,100.0,200.0,800.0,300.0,2000.0,100.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,3.0,,6.0,,6.0,2.0,1.0,,16.0,,2.0,,10.0
LAPR,Laptrust Imara Income-REIT,Real Estate,Real Estate Investment Trust,,,,,,,,,,20.0,20.0,,,,,,,,,20.0,20.0,20.0,20.0,,20.0,20.0,,,,,,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,30000000.0,20000000.0,,,,,,,,,2000000.0,750000.0,30000000.0,2000000.0,,30000000.0,2500000.0,,,,,,,,,,,100.0,30000000.0,,,,,,,,,,,,,,,,,,,,,,25000000.0,,,,,,,,,
LBTY,Liberty Kenya Holdings Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15,10.0,10.0,10.25,10.4,10.4,10.2,10.15,10.15,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593329.0,15563.0,32480.0,277083.0,53501.0,22927.0,14236.0,16336.0,11611.0,35649.0
LIMT,Limuru Tea Company Limited,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,460.0,,460.0,,,,,,,,,,,,,,,,,,517.0,550.0,550.0,550.0,550.0,542.0,542.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,2.0,,74.0,,,,,,,,,,,,,,,,,,122.0,32.0,15.0,24.0,208.0,22.0,117.0,83.0,5.0,277.0
LKL,Longhorn Publishers Limited,Consumer Services,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.29,3.33,3.18,3.33,3.33,3.24,2.98,2.96,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6386.0,57139.0,7878.0,7964.0,18981.0,30916.0,34762.0,22001.0,8548.0,45522.0
NBV,Nairobi Business Ventures Ltd,Consumer Services,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.49,1.54,1.48,1.54,1.57,1.56,1.51,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272324.0,368357.0,247838.0,245804.0,310921.0,298551.0,164287.0,79139.0,203580.0,86750.0
